category,cluster,keywords
Rooms,0,"bed, room, double, uncomfortable, small, comfortable, single, hard, pillow, soft"
Rooms,1,"room, hotel, bathroom, breakfast, shower, staff, night, bit, service, air"
Rooms,2,"coffee, facility, tea, room, making, breakfast, machine, milk, kettle, hotel"
Rooms,3,"small, room, bathroom, bit, little, breakfast, quite, shower, hotel, size"
Staff,0,"service, slow, bar, breakfast, poor, restaurant, charge, food, hotel, good"
Staff,1,"reception, staff, check, area, time, desk, long, bit, hotel, little"
Staff,2,"staff, hotel, breakfast, rude, helpful, bar, check, receptionist, time, bit"
Staff,3,"friendly, staff, helpful, reception, breakfast, hotel, bit, bar, desk, check"
Food,0,"food, hot, breakfast, good, restaurant, choice, drink, bar, poor, quality"
Food,1,"restaurant, hotel, bar, menu, area, dinner, evening, closed, nearby, meal"
Food,2,"breakfast, price, included, hotel, good, poor, bit, better, little, buffet"
Food,3,"expensive, breakfast, price, hotel, bit, euro, included, little, quite, food"
Other,0,"location, far, city, center, bit, station, centre, walk, metro, little"
Other,1,"expensive, parking, bar, bit, price, hotel, drink, quite, little, london"
Other,2,"wifi, bar, bit, night, little, noise, time, check, noisy, small"
Other,3,"hotel, star, like, fault, parking, area, stay, need, old, little"
